Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-04-04T00:00:00.0/2013-04-05T00:00:00.0,8600.8477,6241.7095,4589.2383,1652.4716,7869.4302,4567.1592,2757.9180,1815.4595,4707.4551,0.9896
2013-04-05T00:00:00.0/2013-04-06T00:00:00.0,8670.9951,5218.9194,2217.5984,3001.3210,3662.8420,1435.8424,175.4478,1263.1494,312.4986,0.9868
2013-04-06T00:00:00.0/2013-04-07T00:00:00.0,8740.6123,6473.4937,5079.6387,1393.8552,8667.1240,5671.6274,4069.5696,1602.2196,6297.4399,0.9847
2013-04-07T00:00:00.0/2013-04-08T00:00:00.0,8809.7158,5684.3696,2957.2058,2727.1636,4781.5801,1327.2513,107.5110,1231.3635,170.0149,0.9931
2013-04-08T00:00:00.0/2013-04-09T00:00:00.0,8878.2637,5481.5093,2507.8716,2973.6379,3931.5615,1249.2600,139.4475,1123.8564,210.9911,0.9444
2013-04-09T00:00:00.0/2013-04-10T00:00:00.0,8946.3389,6258.1255,4041.5894,2216.5359,6598.8071,2352.9363,243.5209,2124.6816,378.4482,0.8910
2013-04-10T00:00:00.0/2013-04-11T00:00:00.0,9013.8193,6738.0942,5559.2437,1178.8505,9386.5586,4564.0752,2430.4705,2135.5962,3754.2100,0.9833
2013-04-11T00:00:00.0/2013-04-12T00:00:00.0,9080.7109,6833.5605,5546.1943,1287.3662,9326.0205,6524.0786,5287.9526,1236.1411,8567.5928,0.9854
2013-04-12T00:00:00.0/2013-04-13T00:00:00.0,9146.9736,6660.8423,5000.5210,1660.3213,8376.0732,5117.5010,2211.6511,2905.8499,3680.3823,0.9917
2013-04-13T00:00:00.0/2013-04-14T00:00:00.0,9212.6533,6713.2100,5208.0444,1505.1660,8644.3809,5345.1968,3479.4160,1865.8190,5646.4365,0.9903
2013-04-14T00:00:00.0/2013-04-15T00:00:00.0,9277.7412,7087.5659,5990.0933,1097.4727,10107.2100,6692.7710,5438.5415,1254.2299,8551.1426,0.9889
2013-04-15T00:00:00.0/2013-04-16T00:00:00.0,9342.1064,6704.7197,4632.3081,2072.4116,7419.4722,4573.1489,1946.3129,2627.5076,3295.2161,0.9875
2013-04-16T00:00:00.0/2013-04-17T00:00:00.0,9405.8506,6788.0693,4807.3862,1980.6831,7857.8823,4063.6941,1662.2719,2407.0701,2865.0869,0.9854
2013-04-17T00:00:00.0/2013-04-18T00:00:00.0,9468.9072,7240.7563,6139.1777,1101.5790,10224.9414,6997.2031,5866.0762,1131.1266,9518.5391,0.9854
2013-04-18T00:00:00.0/2013-04-19T00:00:00.0,9531.2969,7152.3315,5849.9888,1302.3428,9643.4014,6596.2534,4667.4023,1928.8534,7855.1802,0.9944
2013-04-19T00:00:00.0/2013-04-20T00:00:00.0,9592.9336,7099.2925,5609.2441,1490.0485,9144.9531,6689.7119,5294.5176,1395.4290,8396.9424,0.9937
2013-04-20T00:00:00.0/2013-04-21T00:00:00.0,9653.8721,7168.8550,5801.9307,1366.9243,9381.5967,6599.2339,4856.5444,1742.6896,7981.3965,0.9715
2013-04-21T00:00:00.0/2013-04-22T00:00:00.0,9714.0352,6452.1919,3667.0593,2785.1326,5604.4033,4636.4375,2271.2205,2365.2854,3376.1257,0.9812
2013-04-22T00:00:00.0/2013-04-23T00:00:00.0,9773.4824,6528.0396,3775.4670,2752.5725,5765.5923,5546.3628,2884.0288,2662.4517,4335.1006,0.9278
2013-04-23T00:00:00.0/2013-04-24T00:00:00.0,9832.2100,6887.9736,4605.3530,2282.6206,7183.0132,5321.1431,2413.7957,2910.4102,3575.0723,0.9889
2013-04-24T00:00:00.0/2013-04-25T00:00:00.0,9890.1113,7456.7148,6242.9663,1213.7484,10099.5244,7175.1172,5978.3970,1196.7202,9513.8574,0.9778
2013-04-25T00:00:00.0/2013-04-26T00:00:00.0,9947.2578,7589.6714,6408.8433,1180.8281,10433.9160,7338.7095,6153.1055,1185.6040,9827.2871,0.9764
2013-04-26T00:00:00.0/2013-04-27T00:00:00.0,10003.5752,7488.5913,6285.8872,1202.7040,10075.2529,7178.7793,5973.7935,1204.9858,9385.7314,0.9861
2013-04-27T00:00:00.0/2013-04-28T00:00:00.0,10059.1211,6832.7583,4349.6147,2483.1433,6563.4375,6094.4302,3635.5891,2459.0447,5298.3701,0.9847
2013-04-28T00:00:00.0/2013-04-29T00:00:00.0,10113.8555,7521.7773,6181.2959,1340.4813,9645.4395,7205.5571,5921.0078,1284.5674,9160.2988,0.9840
2013-04-29T00:00:00.0/2013-04-30T00:00:00.0,10167.7695,7331.6431,5485.7017,1845.9414,8464.8330,6931.7485,5317.3628,1614.3909,8140.8853,0.9931
2013-04-30T00:00:00.0/2013-05-01T00:00:00.0,10220.8096,7386.4336,5550.4990,1835.9347,8577.3506,6979.2534,5367.9204,1611.3348,8217.6309,0.9924
