Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-04-06T00:00:00.0/2013-04-07T00:00:00.0,8393.8184,5825.9023,3773.8093,2052.0930,6490.9595,2033.4978,170.7336,1874.6400,345.1761,0.9896
2013-04-07T00:00:00.0/2013-04-08T00:00:00.0,8468.8193,6131.5171,4415.3521,1716.1654,7715.3555,1600.8551,111.9496,1503.9279,271.0557,0.9882
2013-04-08T00:00:00.0/2013-04-09T00:00:00.0,8543.2988,6036.2026,3916.7043,2119.4983,6844.0083,2431.6060,302.6011,2134.5913,504.0482,0.9444
2013-04-09T00:00:00.0/2013-04-10T00:00:00.0,8617.2949,6233.8022,4515.5713,1718.2311,7884.2710,4019.2061,1415.7888,2604.5974,2097.4719,0.8792
2013-04-10T00:00:00.0/2013-04-11T00:00:00.0,8690.7393,6380.3042,4894.9087,1485.3953,8620.4912,4017.4390,1382.7594,2634.6794,2427.5715,0.9812
2013-04-11T00:00:00.0/2013-04-12T00:00:00.0,8763.6201,6284.8105,4456.3745,1828.4360,7629.8101,2890.4077,591.7412,2306.8699,1192.0413,0.9896
2013-04-12T00:00:00.0/2013-04-13T00:00:00.0,8835.9404,6394.8525,4728.6816,1666.1710,8078.5830,3883.9648,1481.3306,2402.9368,2363.7549,0.9875
2013-04-13T00:00:00.0/2013-04-14T00:00:00.0,8907.6670,6360.0615,4592.2266,1767.8351,7870.8682,2343.3704,264.8082,2087.3254,505.8888,0.9910
2013-04-14T00:00:00.0/2013-04-15T00:00:00.0,8978.8096,6572.8623,4888.7046,1684.1577,8394.7910,3894.0198,1266.9681,2631.0283,1994.8019,0.9896
2013-04-15T00:00:00.0/2013-04-16T00:00:00.0,9049.2979,6602.3101,4867.9663,1734.3438,8214.2822,3077.1465,567.1118,2510.1074,1163.2793,0.9882
2013-04-16T00:00:00.0/2013-04-17T00:00:00.0,9119.1250,6759.4565,5302.5249,1456.9316,9135.2930,5812.5864,4158.4844,1654.4714,6815.4502,0.9868
2013-04-17T00:00:00.0/2013-04-18T00:00:00.0,9188.3242,7120.0083,6125.9932,994.0151,10753.2197,6819.8628,5642.9585,1176.9667,9450.4014,0.9854
2013-04-18T00:00:00.0/2013-04-19T00:00:00.0,9256.8008,7017.9629,5818.1011,1199.8618,10124.0732,6765.8843,5597.5254,1168.3588,9538.6104,0.9944
2013-04-19T00:00:00.0/2013-04-20T00:00:00.0,9324.6006,6941.6816,5605.8477,1335.8344,9553.9150,6625.6504,5357.3628,1268.3864,8870.5703,0.9917
2013-04-20T00:00:00.0/2013-04-21T00:00:00.0,9391.6318,6893.0239,5300.8784,1592.1455,8756.6328,4934.9019,2013.0529,2921.8535,3466.9011,0.9694
2013-04-21T00:00:00.0/2013-04-22T00:00:00.0,9457.9512,6785.2764,4787.8467,1997.4299,8040.2134,3185.1484,975.8541,2219.3799,2298.4326,0.9806
2013-04-22T00:00:00.0/2013-04-23T00:00:00.0,9523.5439,7431.1182,6529.1802,901.9382,11343.9961,7196.7168,6082.0312,1114.6866,10208.8330,0.9271
2013-04-23T00:00:00.0/2013-04-24T00:00:00.0,9588.3457,6886.1235,5055.4751,1830.6481,8335.8164,5862.5610,3878.9014,1983.7303,6089.1792,0.9778
2013-04-24T00:00:00.0/2013-04-25T00:00:00.0,9652.3887,6771.2002,4645.3354,2125.8647,7503.5688,5294.5107,2575.9304,2719.2312,3979.4529,0.9764
2013-04-25T00:00:00.0/2013-04-26T00:00:00.0,9715.5938,7029.6763,5333.5347,1696.1414,8623.2422,6471.2407,4717.0723,1754.3075,7304.9712,0.9757
2013-04-26T00:00:00.0/2013-04-27T00:00:00.0,9778.0088,7199.5386,5780.1948,1419.3439,9611.7559,6803.9341,5458.9458,1345.2181,8776.5254,0.9847
2013-04-27T00:00:00.0/2013-04-28T00:00:00.0,9839.6289,6653.4224,4241.3481,2412.0737,6709.3066,5903.5376,3633.4832,2270.0950,5615.5972,0.9937
