Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-04-11T00:00:00.0/2013-04-12T00:00:00.0,8850.7686,6655.3916,5370.8086,1284.5830,9292.8027,3338.4277,903.2625,2444.1948,1686.3872,0.9910
2013-04-12T00:00:00.0/2013-04-13T00:00:00.0,8921.4844,6317.4956,4207.1265,2110.3694,7404.1538,2811.2786,654.9748,2162.9167,1287.8013,0.9889
2013-04-13T00:00:00.0/2013-04-14T00:00:00.0,8991.5986,6531.0186,4916.5850,1614.4340,8347.7207,3468.8943,1123.9396,2350.7937,2252.1345,0.9868
2013-04-14T00:00:00.0/2013-04-15T00:00:00.0,9061.1113,6760.9639,5319.8311,1441.1329,9152.5195,4853.5645,2408.7324,2444.8318,3803.5232,0.9847
2013-04-15T00:00:00.0/2013-04-16T00:00:00.0,9129.9775,6751.1465,5188.8584,1562.2882,8763.0566,6178.6904,4506.1602,1672.7390,7382.3091,0.9965
2013-04-16T00:00:00.0/2013-04-17T00:00:00.0,9198.2217,6727.1855,5089.3208,1637.8651,8548.8838,5894.4883,3641.9185,2252.5698,5867.5029,0.9910
2013-04-17T00:00:00.0/2013-04-18T00:00:00.0,9265.7646,6935.6011,5593.4854,1342.1160,9528.0762,6511.6377,5032.1221,1479.5195,8139.0610,0.9833
2013-04-18T00:00:00.0/2013-04-19T00:00:00.0,9332.6094,7128.2334,5987.6001,1140.6337,10321.0029,6854.6440,5668.4028,1186.2411,9445.6787,0.9924
2013-04-19T00:00:00.0/2013-04-20T00:00:00.0,9398.7559,7000.3120,5597.0713,1403.2408,9433.8154,6696.9551,5378.8599,1318.0952,8785.3008,0.9917
2013-04-20T00:00:00.0/2013-04-21T00:00:00.0,9464.1895,6992.1045,5464.2588,1527.8461,9081.9658,6678.2017,5292.3525,1385.8634,8626.2686,0.9694
2013-04-21T00:00:00.0/2013-04-22T00:00:00.0,9528.8750,6389.5669,3681.9106,2707.6562,5881.7524,4248.1729,1596.4016,2651.7712,2401.2864,0.9785
2013-04-22T00:00:00.0/2013-04-23T00:00:00.0,9592.8311,6746.4683,4605.2046,2141.2634,7381.9053,5213.3447,2625.1953,2588.2722,4177.6436,0.9250
2013-04-23T00:00:00.0/2013-04-24T00:00:00.0,9655.9746,6879.8179,4929.2378,1950.5797,7993.7446,5037.4424,2638.6660,2398.9524,3984.8000,0.9757
2013-04-24T00:00:00.0/2013-04-25T00:00:00.0,9718.3691,7055.5801,5240.7739,1814.8060,8535.9570,6588.3506,4833.4033,1754.9475,7778.0464,0.9736
2013-04-25T00:00:00.0/2013-04-26T00:00:00.0,9780.0029,7364.1851,6136.1040,1228.0811,10187.6445,7053.6992,5802.9712,1250.7278,9315.4688,0.9840
2013-04-26T00:00:00.0/2013-04-27T00:00:00.0,9840.7637,7456.7798,6371.4629,1085.3171,10546.2959,7178.4683,6017.1509,1161.3198,9720.9053,0.9937
2013-04-27T00:00:00.0/2013-04-28T00:00:00.0,9900.7402,6520.4458,3826.5278,2693.9180,5907.6465,5842.5396,3352.2144,2490.6865,5194.9458,0.9882
2013-04-28T00:00:00.0/2013-04-29T00:00:00.0,9959.9150,7342.3013,6053.3662,1288.9349,9663.3174,6130.2378,3359.1565,2774.0803,5359.2915,0.9806
2013-04-29T00:00:00.0/2013-04-30T00:00:00.0,10018.1807,7255.5708,5609.6191,1645.9520,8922.0713,6798.5645,5051.8071,1746.7637,7920.7686,0.9903
2013-04-30T00:00:00.0/2013-05-01T00:00:00.0,10075.6162,6934.1660,4553.1230,2381.0430,7055.0942,6166.8311,3741.6118,2425.3027,5606.4116,0.9889
2013-05-01T00:00:00.0/2013-05-02T00:00:00.0,10132.2051,6947.3477,4575.1230,2372.2244,7067.9365,4967.8521,2032.4437,2935.5054,3038.9585,0.9771
2013-05-02T00:00:00.0/2013-05-03T00:00:00.0,10187.8633,7034.6851,4713.2310,2321.4541,7237.4678,6152.5122,3373.3579,2779.3318,4998.9624,0.9556
2013-05-03T00:00:00.0/2013-05-04T00:00:00.0,10242.6348,7442.5493,5771.7598,1670.7899,9026.8145,6697.9312,4542.2383,2155.8550,6698.2227,0.9021
2013-05-04T00:00:00.0/2013-05-05T00:00:00.0,10296.5059,7471.0117,5709.9829,1761.0288,8882.8486,6832.0444,4582.0903,2249.9539,7269.1450,0.9847
2013-05-05T00:00:00.0/2013-05-06T00:00:00.0,10349.4463,7653.8389,6111.2866,1542.5520,9716.1875,7130.3569,5263.7119,1866.6475,7914.2036,0.9924
2013-05-06T00:00:00.0/2013-05-07T00:00:00.0,10401.4238,7471.7466,5589.4351,1882.3115,8662.6572,6542.2495,3845.7883,2696.4768,5682.1807,0.9910
2013-05-07T00:00:00.0/2013-05-08T00:00:00.0,10452.4639,7700.7563,6120.7358,1580.0208,9663.8887,7145.1611,5338.7847,1806.3765,8142.0229,0.9264
2013-05-08T00:00:00.0/2013-05-09T00:00:00.0,10502.5615,7950.3721,6522.0732,1428.2992,10399.4844,7562.7607,6028.1152,1534.6930,9186.6797,0.9806
2013-05-09T00:00:00.0/2013-05-10T00:00:00.0,10551.6396,8091.9556,6599.7651,1492.1907,10373.3086,7292.9937,4603.9521,2689.0415,6740.8345,0.9854
2013-05-10T00:00:00.0/2013-05-11T00:00:00.0,10599.7500,8068.9541,6652.3472,1416.6071,10540.5938,7232.6675,4535.9424,2697.0730,7226.9453,0.9889
2013-05-11T00:00:00.0/2013-05-12T00:00:00.0,10646.8682,8324.5000,7390.6357,933.8640,12044.2451,8073.3892,6870.9946,1202.3943,10778.4209,0.9882
2013-05-12T00:00:00.0/2013-05-13T00:00:00.0,10692.9395,7951.4683,6579.1724,1372.2958,10363.3330,7360.7900,5472.0806,1888.7147,8446.0322,0.9875
